id_question,question
PR1,Who must comply with the GDPR?
PR2,What are the GDPR fines?
PR3,How do I comply with the GDPR?
PR4,Does the GDPR require encryption?
PR5,What is personal information and sensitive personal information under the GDPR?
PR6,What rights do I have under the GDPR?
PR7,Who must comply with the CCPA?
PR8,What are the CCPA fines?
PR9,How do I comply with the CCPA?
PR10,Does the CCPA require encryption?
PR11,What is personal information and sensitive personal information under the CCPA?
PR12,What rights do I have under the CCPA?
